"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AE1","OE1","OE2","REM"
"99999993101","2000-09-29T07:59:00","6","33.66667","-117.73333","117.0","EL TORO MCAS, CA US","SOD  ","KNZJ ","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,"1,24,99999,999,9999,7","2,24,99999,999,9999,7","SOD163HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00"
"99999993101","2000-09-30T07:59:00","6","33.66667","-117.73333","117.0","EL TORO MCAS, CA US","SOD  ","KNZJ ","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,"1,24,99999,999,9999,7","2,24,99999,999,9999,7","SOD163HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00"
"99999993101","2000-10-01T07:59:00","6","33.66667","-117.73333","117.0","EL TORO MCAS, CA US","SOD  ","KNZJ ","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,"1,24,99999,999,9999,7","2,24,99999,999,9999,7","SOD163HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00"
"99999993101","2000-10-01T07:59:00","6","33.66667","-117.73333","117.0","EL TORO MCAS, CA US","SOM  ","KNZJ ","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","99,9,99,9,99,9,00,5",,,"SOM018DAYS W/PCP >=1.00:"
"99999993101","2000-10-02T07:59:00","6","33.66667","-117.73333","117.0","EL TORO MCAS, CA US","SOD  ","KNZJ ","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,"1,24,99999,999,9999,7","2,24,99999,999,9999,7","SOD163HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00"
"99999993101","2000-10-03T07:59:00","6","33.66667","-117.73333","117.0","EL TORO MCAS, CA US","SOD  ","KNZJ ","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,"1,24,99999,999,9999,7","2,24,99999,999,9999,7","SOD163HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00"
"99999993101","2000-10-04T07:59:00","6","33.66667","-117.73333","117.0","EL TORO MCAS, CA US","SOD  ","KNZJ ","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,"1,24,99999,999,9999,7","2,24,99999,999,9999,7","SOD163HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00"
"99999993101","2000-10-05T07:59:00","6","33.66667","-117.73333","117.0","EL TORO MCAS, CA US","SOD  ","KNZJ ","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,"1,24,99999,999,9999,7","2,24,99999,999,9999,7","SOD163HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00"
"99999993101","2000-10-06T07:59:00","6","33.66667","-117.73333","117.0","EL TORO MCAS, CA US","SOD  ","KNZJ ","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,"1,24,99999,999,9999,7","2,24,99999,999,9999,7","SOD163HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00"
"99999993101","2000-10-07T07:59:00","6","33.66667","-117.73333","117.0","EL TORO MCAS, CA US","SOD  ","KNZJ ","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,"1,24,99999,999,9999,7","2,24,99999,999,9999,7","SOD163HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00"
"99999993101","2000-10-08T07:59:00","6","33.66667","-117.73333","117.0","EL TORO MCAS, CA US","SOD  ","KNZJ ","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,"1,24,99999,999,9999,7","2,24,99999,999,9999,7","SOD163HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00"
"99999993101","2000-10-09T07:59:00","6","33.66667","-117.73333","117.0","EL TORO MCAS, CA US","SOD  ","KNZJ ","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,"1,24,99999,999,9999,7","2,24,99999,999,9999,7","SOD163HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00"
"99999993101","2000-10-10T07:59:00","6","33.66667","-117.73333","117.0","EL TORO MCAS, CA US","SOD  ","KNZJ ","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,"1,24,99999,999,9999,7","2,24,99999,999,9999,7","SOD163HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00"
"99999993101","2000-10-11T07:59:00","6","33.66667","-117.73333","117.0","EL TORO MCAS, CA US","SOD  ","KNZJ ","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,"1,24,99999,999,9999,7","2,24,99999,999,9999,7","SOD163HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00"
"99999993101","2000-10-12T07:59:00","6","33.66667","-117.73333","117.0","EL TORO MCAS, CA US","SOD  ","KNZJ ","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,"1,24,99999,999,9999,7","2,24,99999,999,9999,7","SOD163HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00"
"99999993101","2000-10-13T07:59:00","6","33.66667","-117.73333","117.0","EL TORO MCAS, CA US","SOD  ","KNZJ ","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,"1,24,99999,999,9999,7","2,24,99999,999,9999,7","SOD163HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00"
"99999993101","2000-10-14T07:59:00","6","33.66667","-117.73333","117.0","EL TORO MCAS, CA US","SOD  ","KNZJ ","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,"1,24,99999,999,9999,7","2,24,99999,999,9999,7","SOD163HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00"
"99999993101","2000-10-15T07:59:00","6","33.66667","-117.73333","117.0","EL TORO MCAS, CA US","SOD  ","KNZJ ","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,"1,24,99999,999,9999,7","2,24,99999,999,9999,7","SOD163HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00"
"99999993101","2000-10-16T07:59:00","6","33.66667","-117.73333","117.0","EL TORO MCAS, CA US","SOD  ","KNZJ ","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,"1,24,99999,999,9999,7","2,24,99999,999,9999,7","SOD163HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00"
"99999993101","2000-10-17T07:59:00","6","33.66667","-117.73333","117.0","EL TORO MCAS, CA US","SOD  ","KNZJ ","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,"1,24,99999,999,9999,7","2,24,99999,999,9999,7","SOD163HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00"
"99999993101","2000-10-18T07:59:00","6","33.66667","-117.73333","117.0","EL TORO MCAS, CA US","SOD  ","KNZJ ","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,"1,24,99999,999,9999,7","2,24,99999,999,9999,7","SOD163HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00"
"99999993101","2000-10-19T07:59:00","6","33.66667","-117.73333","117.0","EL TORO MCAS, CA US","SOD  ","KNZJ ","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,"1,24,99999,999,9999,7","2,24,99999,999,9999,7","SOD163HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00"
"99999993101","2000-10-20T07:59:00","6","33.66667","-117.73333","117.0","EL TORO MCAS, CA US","SOD  ","KNZJ ","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,"1,24,99999,999,9999,7","2,24,99999,999,9999,7","SOD163HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00"
"99999993101","2000-10-21T07:59:00","6","33.66667","-117.73333","117.0","EL TORO MCAS, CA US","SOD  ","KNZJ ","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,"1,24,99999,999,9999,7","2,24,99999,999,9999,7","SOD163HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00"
"99999993101","2000-10-22T07:59:00","6","33.66667","-117.73333","117.0","EL TORO MCAS, CA US","SOD  ","KNZJ ","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,"1,24,99999,999,9999,7","2,24,99999,999,9999,7","SOD163HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00"
"99999993101","2000-10-23T07:59:00","6","33.66667","-117.73333","117.0","EL TORO MCAS, CA US","SOD  ","KNZJ ","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,"1,24,99999,999,9999,7","2,24,99999,999,9999,7","SOD163HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00"
"99999993101","2000-10-24T07:59:00","6","33.66667","-117.73333","117.0","EL TORO MCAS, CA US","SOD  ","KNZJ ","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,"1,24,99999,999,9999,7","2,24,99999,999,9999,7","SOD163HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00"
"99999993101","2000-10-25T07:59:00","6","33.66667","-117.73333","117.0","EL TORO MCAS, CA US","SOD  ","KNZJ ","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,"1,24,99999,999,9999,7","2,24,99999,999,9999,7","SOD163HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00"
"99999993101","2000-10-26T07:59:00","6","33.66667","-117.73333","117.0","EL TORO MCAS, CA US","SOD  ","KNZJ ","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,"1,24,99999,999,9999,7","2,24,99999,999,9999,7","SOD163HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00"
"99999993101","2000-10-27T07:59:00","6","33.66667","-117.73333","117.0","EL TORO MCAS, CA US","SOD  ","KNZJ ","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,"1,24,99999,999,9999,7","2,24,99999,999,9999,7","SOD163HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00"
"99999993101","2000-10-28T07:59:00","6","33.66667","-117.73333","117.0","EL TORO MCAS, CA US","SOD  ","KNZJ ","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,"1,24,99999,999,9999,7","2,24,99999,999,9999,7","SOD163HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00"
"99999993101","2000-10-29T07:59:00","6","33.66667","-117.73333","117.0","EL TORO MCAS, CA US","SOD  ","KNZJ ","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,"1,24,99999,999,9999,7","2,24,99999,999,9999,7","SOD163HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00"
"99999993101","2000-10-30T07:59:00","6","33.66667","-117.73333","117.0","EL TORO MCAS, CA US","SOD  ","KNZJ ","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,"1,24,99999,999,9999,7","2,24,99999,999,9999,7","SOD163HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00"
"99999993101","2000-10-31T07:59:00","6","33.66667","-117.73333","117.0","EL TORO MCAS, CA US","SOD  ","KNZJ ","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,"1,24,99999,999,9999,7","2,24,99999,999,9999,7","SOD163HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00"
"99999993101","2000-11-01T07:59:00","6","33.66667","-117.73333","117.0","EL TORO MCAS, CA US","SOD  ","KNZJ ","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,"1,24,99999,999,9999,7","2,24,99999,999,9999,7","SOD163HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00"
"99999993101","2000-11-01T07:59:00","6","33.66667","-117.73333","117.0","EL TORO MCAS, CA US","SOM  ","KNZJ ","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","99,9,99,9,99,9,00,5",,,"SOM018DAYS W/PCP >=1.00:"
